Google地圖連結,店名,照片,Google評論分數,地址,聯絡電話
"https://www.google.com/maps/place/%E4%B8%89%E9%87%8D%E8%8F%9C%E5%AF%AE%E9%8E%96%E5%8D%B0%E5%BA%97/@25.0586709,121.4829333,17z/data=!3m1!4b1!4m6!3m5!1s0x3442a8e388782d6d:0x564e97041553de7f!8m2!3d25.0586661!4d121.4855082!16s%2Fg%2F1hc0zw3wr?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",三重菜寮鎖印店,https://lh3.googleusercontent.com/p/AF1QipNNNZb2pHi1Q-vaBH874MIKU7GSJJf0Q-ksA-Pq=w408-h306-k-no,4.7,241新北市三重區三陽路28號,02 2982 4793
"https://www.google.com/maps/place/%E8%81%AF%E9%82%A6%E9%91%B0%E5%8C%99%E5%BA%97/@25.0636791,121.4811258,17z/data=!3m1!4b1!4m6!3m5!1s0x3442a99656131151:0x713ecaa572f0d1d0!8m2!3d25.0636743!4d121.4837007!16s%2Fg%2F11gr1k5jjr?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",聯邦鑰匙店,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwHdQFn14fqqdQgr7ztWpFvNt8W0y2JxXeoSqyKjBswFe4Yvrt-w9dBBmOUuNrsL3J3qq7z4_v8JtYc30xjIgD0iae0EzS6iZCOIGXjLKrQlHikH_oIuI8-QGRPE5gFRP5KO9XcCw=w408-h544-k-no,4.5,241新北市三重區中華路119號3樓,02 2982 7649
"https://www.google.com/maps/place/%E6%98%8E%E6%A8%BA%E9%8E%96%E8%A1%8C/@25.0714865,121.4903635,17z/data=!3m1!4b1!4m6!3m5!1s0x3442a97b0cc807bb:0xb2e45c87cfe88812!8m2!3d25.0714817!4d121.4929384!16s%2Fg%2F11y9qgr7w7?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",明樺鎖行,https://lh3.googleusercontent.com/p/AF1QipO13OrQxa62ZepSe7Z2VdsL6rQjfNNCgUyVN6sG=w408-h544-k-no,5,241新北市三重區重陽路四段133號,0900 315 099
"https://www.google.com/maps/place/%E6%B0%B8%E9%81%94%E9%8E%96%E8%A1%8C/@25.067581,121.479491,17z/data=!3m1!4b1!4m6!3m5!1s0x3442a8dd7aad65e9:0xd305c67afa677342!8m2!3d25.0675762!4d121.4820659!16s%2Fg%2F11c5653jtq?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",永達鎖行,https://lh3.googleusercontent.com/p/AF1QipNCAQNownCp0EGJtgCugdBJ0ZzR2NjLugA7CByr=w408-h544-k-no,4.2,241新北市三重區忠孝路三段2號八方雲集旁,02 2983 5186
"https://www.google.com/maps/place/%E4%B8%89%E9%87%8D%E9%8E%96%E5%BA%97+%E9%80%B2%E8%88%88%E9%8E%96%E5%8D%B0%E8%A1%8C+%E6%B1%BD%E8%BB%8A%E6%99%B6%E7%89%87%E9%91%B0%E5%8C%99/@25.0534079,121.4883201,17z/data=!3m1!4b1!4m6!3m5!1s0x3442a8fd43760d47:0x404494206f22f272!8m2!3d25.0534031!4d121.490895!16s%2Fg%2F11c0yhpmp3?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",三重鎖店 進興鎖印行 汽車晶片鑰匙,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSx2EQJ4Jr-VvrP2XcO0J2LoBwrtzQdX1LM0ane7v7sXPH4AbX-8RF81h_4YtVXj3o3qkC-qhgCSC-xjW1dlKaObADV5nkqVcdLgj-RRHmCI3LYaE-vVQt_DZ2B0lmnqWJCLXtPEub_R8nuA=w408-h544-k-no,4.8,24144新北市三重區集美街165號,02 2974 1838
"https://www.google.com/maps/place/%E6%98%8E%E5%BF%97%E9%91%B0%E5%8C%99%E5%BA%97/@25.063993,121.4891872,17z/data=!3m1!4b1!4m6!3m5!1s0x3442a91fe4da56cd:0xb4bcc3a9cae1cd95!8m2!3d25.0639882!4d121.4917621!16s%2Fg%2F11bcf233gh?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",明志鑰匙店,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyP-LQIWg8pcvfDSkYk__JftsweT6TFTfD9Vy9QHIh-pTjWH4_I9kAjooMdxdtL9ljADpwMzbURfa_9NznNMIyVUjE4t8EkBJaeaCm5imvY6iL33oxNEP-NkvQs4nkoDRBkvFeX7w=w408-h408-k-no,4.8,241新北市三重區明志街26號,02 2982 5375
"https://www.google.com/maps/place/%E4%B8%89%E9%87%8D%E5%8D%94%E6%98%8C%E9%8E%96%E5%BA%97+%E6%B1%BD%E8%BB%8A%E6%99%B6%E7%89%87%E9%91%B0%E5%8C%99/@25.0698453,121.4812892,17z/data=!3m1!4b1!4m6!3m5!1s0x3442a8dc4f2bfa8f:0x2b2cbb3946a0945!8m2!3d25.0698405!4d121.4838641!16s%2Fg%2F1hd_0q2ct?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",三重協昌鎖店 汽車晶片鑰匙,https://lh3.googleusercontent.com/p/AF1QipM00aS3VP8aj60bNc82squTYiGGTvb29mY5Fe9a=w408-h306-k-no,4.4,241新北市三重區忠孝路二段105號,0930 040 760
"https://www.google.com/maps/place/%E8%90%AC%E6%89%BF%E9%8E%96%E5%BA%97-%E6%B1%BD%E8%BB%8A%E6%99%B6%E7%89%87%E9%91%B0%E5%8C%99/@25.0584333,121.4959862,17z/data=!3m1!4b1!4m6!3m5!1s0x3442a9196743b379:0xa9db007ac743b893!8m2!3d25.0584285!4d121.4985611!16s%2Fg%2F11bzs1hvqc?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",萬承鎖店-汽車晶片鑰匙,https://lh3.googleusercontent.com/p/AF1QipOemvPHUhM0fC08euzjgGD4uvOlRRbI55MfuJI9=w426-h240-k-no,4.8,241新北市三重區正義南路117號,0978 315 152
"https://www.google.com/maps/place/%E5%90%88%E7%9B%9B%E9%8E%96%E5%8D%B0%E5%BA%97/@25.0692023,121.4757521,17z/data=!3m1!4b1!4m6!3m5!1s0x3442a8c2953aa751:0x258cbb63b04f267a!8m2!3d25.0691975!4d121.478327!16s%2Fg%2F119x1l5qy?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA2OUgBUAM%3D",合盛鎖印店,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzrLe71znXuQQMQV6eEfDwhvwbzMemXeIVGcTOV-qhhw4SsZHpZwQQNrjsYPxl2SgYdfVFPEMwRA1UFjfu2Nd62_VRQZfbi4yN8LON1mQwMIQ83RpzoLd5fsD7ZGgGnIr_0Qkzz=w408-h544-k-no,4.6,24162新北市三重區中正北路338號,0963 302 300
"https://www.google.com/maps/place/%E6%96%87%E6%8F%9A%E9%8E%96%E5%8D%B0%E5%BA%97/@25.0702325,121.4891027,17z/data=!3m1!4b1!4m6!3m5!1s0x3442a9b0df755e4f:0x81f3a6a6569da780!8m2!3d25.0702277!4d121.4916776!16s%2Fg%2F11glwh635q?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",文揚鎖印店,https://lh3.googleusercontent.com/p/AF1QipPcyZT3hYCkAW-308lbz5o7g_LXC-45pau6IDEb=w408-h306-k-no,4.9,241新北市三重區重陽路四段52號,0939 222 992
